accession	tree_id	uniprot_id	protein_name	organism	genus	length	reviewed	source_queries	enzyme_class	reference_label	taxonomic_lineage	taxon_domain
A0A0S2KB11	tr|A0A0S2KB11|A0A0S2KB11_9GAMM	A0A0S2KB11_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Pseudohongiella spirulinae	Pseudohongiella	289	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudohongiellaceae (family), Pseudohongiella (genus)	Bacteria
A0A143BU21	tr|A0A143BU21|A0A143BU21_9ACTN	A0A143BU21_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Streptomyces qaidamensis	Streptomyces	294	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus), Streptomyces aurantiacus group (no rank)	Bacteria
A0A147KDL8	tr|A0A147KDL8|A0A147KDL8_THECS	A0A147KDL8_THECS	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Thermobifida cellulosilytica TB100	Thermobifida	281	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase,thermobifida	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Thermobifida (genus), Thermobifida cellulosilytica (species)	Bacteria
A0A147KJY8	tr|A0A147KJY8|A0A147KJY8_THECS	A0A147KJY8_THECS	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermobifida cellulosilytica TB100	Thermobifida	300	unreviewed	ec_petase,polyethylene_terephthalate_hydrolase,thermobifida	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Thermobifida (genus), Thermobifida cellulosilytica (species)	Bacteria
A0A154MFQ9	tr|A0A154MFQ9|A0A154MFQ9_9PSEU	A0A154MFQ9_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis regifaucium	Amycolatopsis	281	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0A154MM18	tr|A0A154MM18|A0A154MM18_9PSEU	A0A154MM18_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis regifaucium	Amycolatopsis	281	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0A161LKE9	tr|A0A161LKE9|A0A161LKE9_9ACTN	A0A161LKE9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Planomonospora sphaerica	Planomonospora	299	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Planomonospora (genus)	Bacteria
A0A168EN35	tr|A0A168EN35|A0A168EN35_9MICO	A0A168EN35_9MICO	Lipase 1 (EC 3.1.1.3)	Isoptericola dokdonensis DS-3	Isoptericola	285	unreviewed	petase	Other	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Promicromonosporaceae (family), Isoptericola (genus), Isoptericola dokdonensis (species)	Bacteria
A0A1B2HPK5	tr|A0A1B2HPK5|A0A1B2HPK5_9PSEU	A0A1B2HPK5_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Lentzea guizhouensis	Lentzea	293	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Lentzea (genus)	Bacteria
A0A1D9PE29	tr|A0A1D9PE29|A0A1D9PE29_9FLAO	A0A1D9PE29_9FLAO	PET hydrolase/cutinase-like domain-containing protein	Flavobacterium commune	Flavobacterium	348	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Flavobacterium (genus)	Bacteria
A0A1G4TQ35	tr|A0A1G4TQ35|A0A1G4TQ35_9CAUL	A0A1G4TQ35_9CAUL	PET hydrolase/cutinase-like domain-containing protein	Asticcacaulis taihuensis	Asticcacaulis	328	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Caulobacterales (order), Caulobacteraceae (family), Asticcacaulis (genus)	Bacteria
A0A1G6Q5G2	tr|A0A1G6Q5G2|A0A1G6Q5G2_9PSEU	A0A1G6Q5G2_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Actinokineospora iranica	Actinokineospora	290	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Actinokineospora (genus)	Bacteria
A0A1G6SVB0	tr|A0A1G6SVB0|A0A1G6SVB0_9NOCA	A0A1G6SVB0_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Rhodococcus tukisamuensis	Rhodococcus	325	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Rhodococcus (genus)	Bacteria
A0A1G6T100	tr|A0A1G6T100|A0A1G6T100_9NOCA	A0A1G6T100_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Rhodococcus tukisamuensis	Rhodococcus	305	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Rhodococcus (genus)	Bacteria
A0A1G7Z2H0	tr|A0A1G7Z2H0|A0A1G7Z2H0_9ACTN	A0A1G7Z2H0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea jiangxiensis	Nonomuraea	297	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A1G8SHF7	tr|A0A1G8SHF7|A0A1G8SHF7_9ACTN	A0A1G8SHF7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea maritima	Nonomuraea	299	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A1H0TFE8	tr|A0A1H0TFE8|A0A1H0TFE8_9GAMM	A0A1H0TFE8_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Ectopseudomonas guguanensis	Ectopseudomonas	280	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Ectopseudomonas (genus)	Bacteria
A0A1H1LGD1	tr|A0A1H1LGD1|A0A1H1LGD1_9GAMM	A0A1H1LGD1_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Halopseudomonas sabulinigri	Halopseudomonas	289	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Halopseudomonas (genus)	Bacteria
A0A1H2ERN9	tr|A0A1H2ERN9|A0A1H2ERN9_9GAMM	A0A1H2ERN9_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Halopseudomonas salegens	Halopseudomonas	289	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Halopseudomonas (genus)	Bacteria
A0A1H2UBE2	tr|A0A1H2UBE2|A0A1H2UBE2_9PSEU	A0A1H2UBE2_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis xylanica	Amycolatopsis	277	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0A1H5RL57	tr|A0A1H5RL57|A0A1H5RL57_9PSEU	A0A1H5RL57_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis pretoriensis	Amycolatopsis	308	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0A1H5T4B9	tr|A0A1H5T4B9|A0A1H5T4B9_9ACTN	A0A1H5T4B9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora echinospora	Thermomonospora	293	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A1H5UML9	tr|A0A1H5UML9|A0A1H5UML9_9ACTN	A0A1H5UML9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea solani	Nonomuraea	306	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A1H6C9P0	tr|A0A1H6C9P0|A0A1H6C9P0_9ACTN	A0A1H6C9P0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermomonospora echinospora	Thermomonospora	292	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A1H6CN89	tr|A0A1H6CN89|A0A1H6CN89_9ACTN	A0A1H6CN89_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Thermomonospora echinospora	Thermomonospora	331	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	Bacteria
A0A1H6EII4	tr|A0A1H6EII4|A0A1H6EII4_9ACTN	A0A1H6EII4_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea solani	Nonomuraea	275	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A1H6EZ24	tr|A0A1H6EZ24|A0A1H6EZ24_9ACTN	A0A1H6EZ24_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea solani	Nonomuraea	291	unreviewed	ec_cutinase,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A1H8CDJ8	tr|A0A1H8CDJ8|A0A1H8CDJ8_9ACTN	A0A1H8CDJ8_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea pusilla	Nonomuraea	265	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A1H8CEP3	tr|A0A1H8CEP3|A0A1H8CEP3_9ACTN	A0A1H8CEP3_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea pusilla	Nonomuraea	285	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A1I0JU31	tr|A0A1I0JU31|A0A1I0JU31_9ACTN	A0A1I0JU31_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea wenchangensis	Nonomuraea	316	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0A1I4AJK7	tr|A0A1I4AJK7|A0A1I4AJK7_9ACTN	A0A1I4AJK7_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium canum	Streptosporangium	285	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	Bacteria
A0A1I4CKC4	tr|A0A1I4CKC4|A0A1I4CKC4_9ACTN	A0A1I4CKC4_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium canum	Streptosporangium	305	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	Bacteria
A0A1I4CM04	tr|A0A1I4CM04|A0A1I4CM04_9ACTN	A0A1I4CM04_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium canum	Streptosporangium	318	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	Bacteria
A0A1I4D078	tr|A0A1I4D078|A0A1I4D078_9ACTN	A0A1I4D078_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium canum	Streptosporangium	314	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	Bacteria
A0A1I5FBR0	tr|A0A1I5FBR0|A0A1I5FBR0_9ACTN	A0A1I5FBR0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura madurae	Actinomadura	299	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0A1I5FV26	tr|A0A1I5FV26|A0A1I5FV26_9FIRM	A0A1I5FV26_9FIRM	PET hydrolase/cutinase-like domain-containing protein	Anaerocolumna aminovalerica	Anaerocolumna	301	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Lachnospirales (order), Lachnospiraceae (family), Anaerocolumna (genus)	Bacteria
A0A1I5MC99	tr|A0A1I5MC99|A0A1I5MC99_9PSEU	A0A1I5MC99_9PSEU	PET hydrolase/cutinase-like domain-containing protein	Amycolatopsis arida	Amycolatopsis	305	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Amycolatopsis (genus)	Bacteria
A0A1I5RT09	tr|A0A1I5RT09|A0A1I5RT09_9ACTN	A0A1I5RT09_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura madurae	Actinomadura	292	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0A1J0VN38	tr|A0A1J0VN38|A0A1J0VN38_9NOCA	A0A1J0VN38_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia mangyaensis	Nocardia	333	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Nocardia (genus)	Bacteria
A0A1L6JA44	tr|A0A1L6JA44|A0A1L6JA44_9SPHN	A0A1L6JA44_9SPHN	PET hydrolase/cutinase-like domain-containing protein	Sphingomonas koreensis	Sphingomonas	319	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Sphingomonadales (order), Sphingomonadaceae (family), Sphingomonas (genus)	Bacteria
A0A1M4ZEU0	tr|A0A1M4ZEU0|A0A1M4ZEU0_9BACT	A0A1M4ZEU0_9BACT	PET hydrolase/cutinase-like domain-containing protein	Cnuella takakiae	Cnuella	306	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Chitinophagia (class), Chitinophagales (order), Chitinophagaceae (family), Cnuella (genus)	Bacteria
A0A1M6K991	tr|A0A1M6K991|A0A1M6K991_9BACT	A0A1M6K991_9BACT	PET hydrolase/cutinase-like domain-containing protein	Tangfeifania diversioriginum	Tangfeifania	303	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Marinilabiliales (order), Prolixibacteraceae (family), Tangfeifania (genus)	Bacteria
A0A1M6M213	tr|A0A1M6M213|A0A1M6M213_9ACTN	A0A1M6M213_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nocardiopsis flavescens	Nocardiopsis	309	unreviewed	ec_petase,nocardiopsis,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus)	Bacteria
A0A1M7II12	tr|A0A1M7II12|A0A1M7II12_9ACTN	A0A1M7II12_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Cryptosporangium aurantiacum	Cryptosporangium	299	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Cryptosporangiales (order), Cryptosporangiaceae (family), Cryptosporangium (genus)	Bacteria
A0A1N6SMU6	tr|A0A1N6SMU6|A0A1N6SMU6_9ACTN	A0A1N6SMU6_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Microbispora rosea	Microbispora	295	unreviewed	ec_petase,microbispora,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Microbispora (genus)	Bacteria
