tree_id	clade_id	accession	genus	organism	reference_label
tr|A0A2C9ZMQ8|A0A2C9ZMQ8_9ACTN	clade_04	A0A2C9ZMQ8	Streptosporangium	Streptosporangium minutum	NA
tr|A0ABV3GPG2|A0ABV3GPG2_MICGL	clade_04	A0ABV3GPG2	Microtetraspora	Microtetraspora glauca	NA
tr|A0A1I4AJK7|A0A1I4AJK7_9ACTN	clade_04	A0A1I4AJK7	Streptosporangium	Streptosporangium canum	NA
tr|D2B6W3|D2B6W3_STRRD	clade_04	D2B6W3	Streptosporangium	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / KCTC 9067 / NCIMB 10171 / NRRL 2505 / NI 9100)	NA
tr|A0A7W8AD49|A0A7W8AD49_9ACTN	clade_04	A0A7W8AD49	Nonomuraea	Nonomuraea endophytica	NA
tr|A0ABV8EUA0|A0ABV8EUA0_9ACTN	clade_04	A0ABV8EUA0	Streptosporangium	Streptosporangium jomthongense	NA
tr|A0ABW3DN90|A0ABW3DN90_9ACTN	clade_04	A0ABW3DN90	Streptosporangium	Streptosporangium algeriense	NA
tr|A0A7W0HTY1|A0A7W0HTY1_9ACTN	clade_04	A0A7W0HTY1	Nonomuraea	Nonomuraea soli	NA
tr|A0ABW7YQ16|A0ABW7YQ16_9ACTN	clade_04	A0ABW7YQ16	Nonomuraea	Nonomuraea typhae	NA
tr|A0ABV5IXZ4|A0ABV5IXZ4_9ACTN	clade_04	A0ABV5IXZ4	Nonomuraea	Nonomuraea spiralis	NA
tr|A0A7W7VS92|A0A7W7VS92_9ACTN	clade_04	A0A7W7VS92	Streptosporangium	Streptosporangium saharense	NA
tr|A0ABN1Q5Y7|A0ABN1Q5Y7_9ACTN	clade_04	A0ABN1Q5Y7	Nonomuraea	Nonomuraea longicatena	NA
tr|D3F610|D3F610_CONWI	clade_04	D3F610	Conexibacter	Conexibacter woesei (strain DSM 14684 / CCUG 47730 / CIP 108061 / JCM 11494 / NBRC 100937 / ID131577)	NA
tr|H0E877|H0E877_9ACTN	clade_04	H0E877	Patulibacter	Patulibacter medicamentivorans	NA
tr|A0ABZ2LU00|A0ABZ2LU00_9BACT	clade_04	A0ABZ2LU00	Pendulispora	Pendulispora albinea	NA
tr|A0ABZ2K0W2|A0ABZ2K0W2_9BACT	clade_04	A0ABZ2K0W2	Pendulispora	Pendulispora brunnea	NA
tr|A0ABZ2KRG5|A0ABZ2KRG5_9BACT	clade_04	A0ABZ2KRG5	Pendulispora	Pendulispora rubella	NA
tr|A0ABW9FX93|A0ABW9FX93_9NOCA	clade_04	A0ABW9FX93	Prescottella	Prescottella soli	NA
tr|A0ABV9G053|A0ABV9G053_9NOCA	clade_04	A0ABV9G053	Rhodococcus	Rhodococcus kronopolitis	NA
tr|A0A1G6SVB0|A0A1G6SVB0_9NOCA	clade_04	A0A1G6SVB0	Rhodococcus	Rhodococcus tukisamuensis	NA
tr|A0ABY2RG97|A0ABY2RG97_9NOCA	clade_04	A0ABY2RG97	Rhodococcus	Rhodococcus oryzae	NA
tr|A0A6L6JDB4|A0A6L6JDB4_9RHOB	clade_04	A0A6L6JDB4	Paracoccus	Paracoccus aestuariivivens	NA
tr|A0ABU3EK19|A0ABU3EK19_9RHOB	clade_04	A0ABU3EK19	Paracoccus	Paracoccus broussonetiae	NA
tr|A0A7D6ZFX0|A0A7D6ZFX0_9NOCA	clade_04	A0A7D6ZFX0	Nocardia	Nocardia huaxiensis	NA
tr|A0ABV3F3X9|A0ABV3F3X9_9NOCA	clade_04	A0ABV3F3X9	Nocardia	Nocardia fusca	NA
tr|A0ABV3FKY4|A0ABV3FKY4_9NOCA	clade_04	A0ABV3FKY4	Nocardia	Nocardia aurea	NA
tr|A0ABS4QJ61|A0ABS4QJ61_9NOCA	clade_04	A0ABS4QJ61	Nocardia	Nocardia goodfellowii	NA
tr|A0ABZ1NDW4|A0ABZ1NDW4_9NOCA	clade_04	A0ABZ1NDW4	Nocardia	Nocardia salmonicida	NA
tr|A0A7H0LJJ6|A0A7H0LJJ6_9SPHN	clade_04	A0A7H0LJJ6	Sphingomonas	Sphingomonas alpina	NA
tr|A0AA41Z6E8|A0AA41Z6E8_9SPHN	clade_04	A0AA41Z6E8	Sphingomonas	Sphingomonas lycopersici	NA
tr|A0A1L6JA44|A0A1L6JA44_9SPHN	clade_04	A0A1L6JA44	Sphingomonas	Sphingomonas koreensis	NA
tr|A0A7X5V1Y0|A0A7X5V1Y0_9SPHN	clade_04	A0A7X5V1Y0	Sphingomonas	Sphingomonas leidyi	NA
tr|A0A7W6JX89|A0A7W6JX89_9SPHN	clade_04	A0A7W6JX89	Sphingomonas	Sphingomonas kyeonggiensis	NA
tr|A0A7W7K5J1|A0A7W7K5J1_9SPHN	clade_04	A0A7W7K5J1	Sphingomonas	Sphingomonas kyeonggiensis	NA
tr|A0A2T5MD89|A0A2T5MD89_9GAMM	clade_04	A0A2T5MD89	Stenotrophobium	Stenotrophobium rhamnosiphilum	NA
tr|A0ABX8CQK4|A0ABX8CQK4_9NOCA	clade_04	A0ABX8CQK4	Nocardia	Nocardia tengchongensis	NA
tr|A0ABR4ZJ15|A0ABR4ZJ15_9NOCA	clade_04	A0ABR4ZJ15	Nocardia	Nocardia vulneris	NA
tr|A0ABW6QPJ9|A0ABW6QPJ9_9NOCA	clade_04	A0ABW6QPJ9	Nocardia	Nocardia suismassiliense	NA
tr|A0A931I7M5|A0A931I7M5_9NOCA	clade_04	A0A931I7M5	Nocardia	Nocardia bovistercoris	NA
tr|A0A6G9YMI2|A0A6G9YMI2_9NOCA	clade_04	A0A6G9YMI2	Nocardia	Nocardia arthritidis	NA
tr|A0ABS6BE04|A0ABS6BE04_9NOCA	clade_04	A0ABS6BE04	Nocardia	Nocardia albiluteola	NA
tr|A0A7G1KJX1|A0A7G1KJX1_9NOCA	clade_04	A0A7G1KJX1	Nocardia	Nocardia wallacei	NA
tr|A0A7W9P8S4|A0A7W9P8S4_9NOCA	clade_04	A0A7W9P8S4	Nocardia	Nocardia transvalensis	NA
tr|A0A370I2K4|A0A370I2K4_9NOCA	clade_04	A0A370I2K4	Nocardia	Nocardia pseudobrasiliensis	NA
tr|A0ABW6NKE0|A0ABW6NKE0_9NOCA	clade_04	A0ABW6NKE0	Nocardia	Nocardia africana	NA
tr|A0A231HFG4|A0A231HFG4_9NOCA	clade_04	A0A231HFG4	Nocardia	Nocardia cerradoensis	NA
tr|A0ABU1XE86|A0ABU1XE86_9NOCA	clade_04	A0ABU1XE86	Nocardia	Nocardia kruczakiae	NA
tr|A0ABW6NYV4|A0ABW6NYV4_9NOCA	clade_04	A0ABW6NYV4	Nocardia	Nocardia aobensis	NA
tr|A0A1H0TFE8|A0A1H0TFE8_9GAMM	clade_05	A0A1H0TFE8	Ectopseudomonas	Ectopseudomonas guguanensis	NA
tr|A4Y035|A4Y035_ECTM1	clade_05	A4Y035	Ectopseudomonas	Ectopseudomonas mendocina (strain ymp) (Pseudomonas mendocina)	NA
tr|A0A1H1LGD1|A0A1H1LGD1_9GAMM	clade_05	A0A1H1LGD1	Halopseudomonas	Halopseudomonas sabulinigri	NA
tr|A0A1H2ERN9|A0A1H2ERN9_9GAMM	clade_05	A0A1H2ERN9	Halopseudomonas	Halopseudomonas salegens	NA
tr|A0ABQ1P236|A0ABQ1P236_9GAMM	clade_05	A0ABQ1P236	Halopseudomonas	Halopseudomonas salina	NA
tr|A0ABQ2CPK6|A0ABQ2CPK6_9GAMM	clade_05	A0ABQ2CPK6	Halopseudomonas	Halopseudomonas pertucinogena	NA
tr|A0AAN1WLP8|A0AAN1WLP8_9GAMM	clade_05	A0AAN1WLP8	Marinagarivorans	Marinagarivorans cellulosilyticus	NA
tr|A0ABQ3AXI4|A0ABQ3AXI4_9GAMM	clade_05	A0ABQ3AXI4	Marinobacter	Marinobacter zhanjiangensis	NA
tr|A0ABW5EHM2|A0ABW5EHM2_9GAMM	clade_05	A0ABW5EHM2	Microbulbifer	Microbulbifer halophilus	NA
tr|A0A4Q7J964|A0A4Q7J964_9PSEU	clade_05	A0A4Q7J964	Amycolatopsis	Amycolatopsis suaedae	NA
tr|A0A154MFQ9|A0A154MFQ9_9PSEU	clade_05	A0A154MFQ9	Amycolatopsis	Amycolatopsis regifaucium	NA
tr|A0A2P2FIU7|A0A2P2FIU7_AMYLU	clade_05	A0A2P2FIU7	Amycolatopsis	Amycolatopsis lurida NRRL 2430	NA
tr|A0A4Q7KNA4|A0A4Q7KNA4_9PSEU	clade_05	A0A4Q7KNA4	Herbihabitans	Herbihabitans rhizosphaerae	NA
tr|A0A1H2UBE2|A0A1H2UBE2_9PSEU	clade_05	A0A1H2UBE2	Amycolatopsis	Amycolatopsis xylanica	NA
tr|A0A075V281|A0A075V281_9PSEU	clade_05	A0A075V281	Amycolatopsis	Amycolatopsis japonica	NA
tr|A0A154MM18|A0A154MM18_9PSEU	clade_05	A0A154MM18	Amycolatopsis	Amycolatopsis regifaucium	NA
tr|A0A918LED6|A0A918LED6_9PSEU	clade_05	A0A918LED6	Actinokineospora	Actinokineospora fastidiosa	NA
tr|A0ABP4V4N0|A0ABP4V4N0_9ACTN	clade_05	A0ABP4V4N0	Kribbella	Kribbella yunnanensis	NA
tr|A0ABS5AQW8|A0ABS5AQW8_9PSEU	clade_05	A0ABS5AQW8	Crossiella	Crossiella equi	NA
tr|A0ABP6DBE2|A0ABP6DBE2_9ACTN	clade_05	A0ABP6DBE2	Actinomadura	Actinomadura fulvescens	NA
tr|A0ABP6K992|A0ABP6K992_9ACTN	clade_05	A0ABP6K992	Streptomyces	Streptomyces enissocaesilis	NA
tr|A0A7X0HEL9|A0A7X0HEL9_STRC6	clade_05	A0A7X0HEL9	Streptomyces	Streptomyces candidus	NA
tr|A0A919DPR9|A0A919DPR9_9ACTN	clade_05	A0A919DPR9	Streptomyces	Streptomyces longispororuber	NA
tr|A0ABP4UM75|A0ABP4UM75_9ACTN	clade_05	A0ABP4UM75	Kribbella	Kribbella yunnanensis	NA
tr|A0A1Y5XXE4|A0A1Y5XXE4_KIBAR	clade_05	A0A1Y5XXE4	Kibdelosporangium	Kibdelosporangium aridum	NA
tr|A0A7W7FSY8|A0A7W7FSY8_9PSEU	clade_05	A0A7W7FSY8	Crossiella	Crossiella cryophila	NA
tr|A0ABQ3M249|A0ABQ3M249_9PSEU	clade_05	A0ABQ3M249	Amycolatopsis	Amycolatopsis oliviviridis	NA
tr|A0A075UPJ7|A0A075UPJ7_9PSEU	clade_05	A0A075UPJ7	Amycolatopsis	Amycolatopsis japonica	NA
tr|R4T7Z6|R4T7Z6_9PSEU	clade_05	R4T7Z6	Amycolatopsis	Amycolatopsis keratiniphila	NA
tr|A0A7W3LXJ4|A0A7W3LXJ4_ACTKI	clade_05	A0A7W3LXJ4	Actinomadura	Actinomadura kijaniata (Actinomadura namibiensis)	NA
tr|A0ABW2CM09|A0ABW2CM09_9ACTN	clade_05	A0ABW2CM09	Actinomadura	Actinomadura yumaensis	NA
tr|A0A7D3W2P3|A0A7D3W2P3_ACTVE	clade_05	A0A7D3W2P3	Actinomadura	Actinomadura verrucosospora	NA
tr|A0ABS3RLG2|A0ABS3RLG2_9ACTN	clade_05	A0ABS3RLG2	Actinomadura	Actinomadura violacea	NA
tr|A0ABN3Q643|A0ABN3Q643_9ACTN	clade_05	A0ABN3Q643	Actinomadura	Actinomadura fulvescens	NA
tr|A0A7K0BY86|A0A7K0BY86_9ACTN	clade_05	A0A7K0BY86	Actinomadura	Actinomadura macrotermitis	NA
tr|A0A3D9SLY3|A0A3D9SLY3_9ACTN	clade_05	A0A3D9SLY3	Thermomonospora	Thermomonospora umbrina	NA
tr|A0ABP6BUZ4|A0ABP6BUZ4_9ACTN	clade_05	A0ABP6BUZ4	Actinomadura	Actinomadura fulvescens	NA
tr|A0A939PI20|A0A939PI20_9ACTN	clade_05	A0A939PI20	Actinomadura	Actinomadura barringtoniae	NA
tr|A0A2P4UPT6|A0A2P4UPT6_9ACTN	clade_05	A0A2P4UPT6	Actinomadura	Actinomadura rubteroloni	NA
tr|A0A6I4WCS2|A0A6I4WCS2_9ACTN	clade_05	A0A6I4WCS2	Actinomadura	Actinomadura rayongensis	NA
tr|A0A8J3ZIJ9|A0A8J3ZIJ9_9ACTN	clade_05	A0A8J3ZIJ9	Virgisporangium	Virgisporangium aurantiacum	NA
tr|A0A919PNJ3|A0A919PNJ3_9ACTN	clade_05	A0A919PNJ3	Dactylosporangium	Dactylosporangium siamense	NA
tr|A0ABN2B888|A0ABN2B888_9ACTN	clade_05	A0ABN2B888	Dactylosporangium	Dactylosporangium maewongense	NA
tr|D2BF75|D2BF75_STRRD	clade_05	D2BF75	Streptosporangium	Streptosporangium roseum (strain ATCC 12428 / DSM 43021 / JCM 3005 / KCTC 9067 / NCIMB 10171 / NRRL 2505 / NI 9100)	NA
tr|A0ABW4SKE7|A0ABW4SKE7_9ACTN	clade_05	A0ABW4SKE7	Nonomuraea	Nonomuraea mangrovi	NA
tr|A0A7W7W8Y9|A0A7W7W8Y9_9ACTN	clade_05	A0A7W7W8Y9	Streptosporangium	Streptosporangium album	NA
tr|A0A7Z0ET41|A0A7Z0ET41_9ACTN	clade_05	A0A7Z0ET41	Nocardiopsis	Nocardiopsis aegyptia	NA
tr|A0ABQ2W6F4|A0ABQ2W6F4_9ACTN	clade_05	A0ABQ2W6F4	Streptomyces	Streptomyces gelaticus	NA
tr|A0ABV5TKN4|A0ABV5TKN4_9ACTN	clade_05	A0ABV5TKN4	Streptosporangium	Streptosporangium vulgare	NA
tr|A0A7W0CKZ2|A0A7W0CKZ2_9ACTN	clade_05	A0A7W0CKZ2	Nonomuraea	Nonomuraea soli	NA
tr|A0A7W8EHH8|A0A7W8EHH8_9ACTN	clade_05	A0A7W8EHH8	Nonomuraea	Nonomuraea endophytica	NA
tr|A0ABW7Z7B4|A0ABW7Z7B4_9ACTN	clade_05	A0ABW7Z7B4	Nonomuraea	Nonomuraea typhae	NA
tr|A0A1H8CDJ8|A0A1H8CDJ8_9ACTN	clade_05	A0A1H8CDJ8	Nonomuraea	Nonomuraea pusilla	NA
tr|A0ABV5INF8|A0ABV5INF8_9ACTN	clade_05	A0ABV5INF8	Nonomuraea	Nonomuraea spiralis	NA
tr|A0ABT4SVI9|A0ABT4SVI9_9ACTN	clade_05	A0ABT4SVI9	Nonomuraea	Nonomuraea ferruginea	NA
tr|A0ABW2TCC5|A0ABW2TCC5_9ACTN	clade_05	A0ABW2TCC5	Streptosporangium	Streptosporangium amethystogenes subsp. fukuiense	NA
tr|A0ABP7P388|A0ABP7P388_9ACTN	clade_05	A0ABP7P388	Gordonia	Gordonia caeni	NA
tr|A0A4Y3RDQ0|A0A4Y3RDQ0_9ACTN	clade_05	A0A4Y3RDQ0	Streptomyces	Streptomyces gardneri	NA
tr|A0ABQ3PN33|A0ABQ3PN33_9ACTN	clade_05	A0ABQ3PN33	Streptomyces	Streptomyces hydrogenans	NA
tr|F2R1W4|F2R1W4_STRVP	clade_05	F2R1W4	Streptomyces	Streptomyces venezuelae (strain ATCC 10712 / CBS 650.69 / DSM 40230 / JCM 4526 / NBRC 13096 / PD 04745)	NA
tr|A0ABP6Q7A0|A0ABP6Q7A0_9ACTN	clade_05	A0ABP6Q7A0	Actinocorallia	Actinocorallia longicatena	NA
tr|A0A3D9SNA7|A0A3D9SNA7_9ACTN	clade_05	A0A3D9SNA7	Thermomonospora	Thermomonospora umbrina	NA
tr|A0A7K0BXG1|A0A7K0BXG1_9ACTN	clade_05	A0A7K0BXG1	Actinomadura	Actinomadura macrotermitis	NA
tr|A0A3D9SN04|A0A3D9SN04_9ACTN	clade_05	A0A3D9SN04	Thermomonospora	Thermomonospora umbrina	NA
tr|A0A7K0BW34|A0A7K0BW34_9ACTN	clade_05	A0A7K0BW34	Actinomadura	Actinomadura macrotermitis	NA
tr|A0A7K0BW49|A0A7K0BW49_9ACTN	clade_05	A0A7K0BW49	Actinomadura	Actinomadura macrotermitis	NA
tr|A0A7W3LR11|A0A7W3LR11_ACTKI	clade_05	A0A7W3LR11	Actinomadura	Actinomadura kijaniata (Actinomadura namibiensis)	NA
