Entry	Entry Name	Organism	Organism (ID)	Taxonomic lineage	Taxonomic lineage (Ids)	Length	Reviewed
A0A0A1SYU9	A0A0A1SYU9_9HYPO	[Torrubiella] hemipterigena	1531966	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Hypocreales (order), Clavicipitaceae (family), Clavicipitaceae incertae sedis (no rank), 'Torrubiella' clade (clade)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147550 (class), 222543 (subclass), 5125 (order), 34397 (family), 2940282 (no rank), 2940446 (clade)	291	unreviewed
A0A147KDL8	A0A147KDL8_THECS	Thermobifida cellulosilytica TB100	665004	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Thermobifida (genus), Thermobifida cellulosilytica (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 83677 (genus), 144786 (species)	281	unreviewed
A0A1H6CN89	A0A1H6CN89_9ACTN	Thermomonospora echinospora	1992	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 2019 (genus)	331	unreviewed
A0A1I4CKC4	A0A1I4CKC4_9ACTN	Streptosporangium canum	324952	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2000 (genus)	305	unreviewed
A0A1I4CM04	A0A1I4CM04_9ACTN	Streptosporangium canum	324952	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2000 (genus)	318	unreviewed
A0A1I4D078	A0A1I4D078_9ACTN	Streptosporangium canum	324952	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2000 (genus)	314	unreviewed
A0A1M6M213	A0A1M6M213_9ACTN	Nocardiopsis flavescens	758803	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 2013 (genus)	309	unreviewed
A0A1N7HIK6	A0A1N7HIK6_9ACTN	Microbispora rosea	58117	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Microbispora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2005 (genus)	306	unreviewed
A0A239F952	A0A239F952_9ACTN	Actinomadura meyerae	240840	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	307	unreviewed
A0A0D7B574	A0A0D7B574_9AGAR	Cylindrobasidium torrendii FP15055 ss-10	1314674	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Marasmiineae (suborder), Physalacriaceae (family), Cylindrobasidium (genus), Cylindrobasidium torrendii (species)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 5204 (phylum), 5302 (subphylum), 155619 (class), 452333 (subclass), 5338 (order), 2982316 (suborder), 862241 (family), 139105 (genus), 394432 (species)	284	unreviewed
A0A0D9NW74	A0A0D9NW74_METAN	Metarhizium anisopliae BRIP 53293	1291518	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Hypocreales (order), Clavicipitaceae (family), Metarhizium (genus), Metarhizium anisopliae (species)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147550 (class), 222543 (subclass), 5125 (order), 34397 (family), 5529 (genus), 5530 (species)	251	unreviewed
A0A1G8SHF7	A0A1G8SHF7_9ACTN	Nonomuraea maritima	683260	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	299	unreviewed
A0A1H5UML9	A0A1H5UML9_9ACTN	Nonomuraea solani	1144553	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	306	unreviewed
A0A1H6C9P0	A0A1H6C9P0_9ACTN	Thermomonospora echinospora	1992	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 2019 (genus)	292	unreviewed
A0A1H8CEP3	A0A1H8CEP3_9ACTN	Nonomuraea pusilla	46177	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	285	unreviewed
A0A1I4AJK7	A0A1I4AJK7_9ACTN	Streptosporangium canum	324952	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2000 (genus)	285	unreviewed
A0A1L7XBM8	A0A1L7XBM8_9HELO	Phialocephala subalpina	576137	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Leotiomycetes (class), Helotiales (order), Mollisiaceae (family), Phialocephala (genus), Phialocephala fortinii species complex (no rank)	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147548 (class), 5178 (order), 2755564 (family), 150173 (genus), 576134 (no rank)	256	unreviewed
A0A1T4KK94	A0A1T4KK94_9ACTN	Marinactinospora thermotolerans DSM 45154	1122192	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Marinactinospora (genus), Marinactinospora thermotolerans (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 647960 (genus), 531310 (species)	311	unreviewed
A0A1V3C6I0	A0A1V3C6I0_9ACTN	Nocardiopsis sinuspersici	501010	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 2013 (genus)	309	unreviewed
A0A1H6EII4	A0A1H6EII4_9ACTN	Nonomuraea solani	1144553	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	275	unreviewed
A0A1I0JU31	A0A1I0JU31_9ACTN	Nonomuraea wenchangensis	568860	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)	316	unreviewed
A0A1I5FBR0	A0A1I5FBR0_9ACTN	Actinomadura madurae	1993	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	299	unreviewed
A0A1I5RT09	A0A1I5RT09_9ACTN	Actinomadura madurae	1993	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)	292	unreviewed
A0A1W6L588	A0A1W6L588_9BURK	Piscinibacter gummiphilus	946333	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Sphaerotilaceae (family), Piscinibacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28216 (class), 80840 (order), 2975441 (family), 1114981 (genus)	292	unreviewed
